tanggal,hari,product_id,product_name,kategori,satuan,harga_normal,diskon_persen,harga_jual,cogs,quantity_sold,lost_sales,revenue,gross_profit,stock_awal,restock_diterima,stock_akhir,restock_dipesan,expired_qty,tanggal_kedaluwarsa,days_to_expiry,is_periode_gajian,is_ramadan
2025-08-18,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,11,0,374000,60500,121,0,110,0,0,2026-08-29,376,0,0
2025-08-19,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,18,0,612000,99000,110,0,92,0,0,2026-08-29,375,0,0
2025-08-20,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,15,0,510000,82500,92,0,77,0,0,2026-08-29,374,0,0
2025-08-21,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,20,0,680000,110000,77,0,57,0,0,2026-08-29,373,0,0
2025-08-22,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,22,0,748000,121000,57,0,35,150,0,2026-08-29,372,0,0
2025-08-23,Sabtu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,5.0,32300,28500,23,0,742900,87400,35,0,12,0,0,2026-08-29,371,0,0
2025-08-24,Minggu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,17,0,578000,93500,162,150,145,0,0,2027-02-15,540,0,0
2025-08-25,Senin,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,38,0,1098200,15200,145,0,107,0,0,2027-02-15,539,1,0
2025-08-26,Selasa,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,14.88,28900,28500,32,0,924800,12800,107,0,75,0,0,2027-02-15,538,1,0
2025-08-27,Rabu,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,10.0,30600,28500,23,0,703800,48300,75,0,52,150,0,2027-02-15,537,1,0
2025-08-28,Kamis,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,23,0,782000,126500,52,0,29,0,0,2027-02-15,536,1,0
2025-08-29,Jumat,SKU001,Minyak Goreng Kemasan 2L,Sembako,botol,34000,0.0,34000,28500,18,0,612000,99000,29,0,11,0,0,2027-02-15,535,1,0
